MIGPLAC5,FWAGE1
0,1541.368507310999
1,2397.5044181797844
2,22992.521739130436
4,4408.488797321658
5,2337.871800505328
6,6186.509299922501
8,5091.152629947298
9,4868.069031273837
10,4695.977155172413
11,9577.061136814276
12,4881.57811515686
13,2868.5507351418514
15,28388.376288659794
16,3659.10105893186
17,4907.924057022031
18,3522.5212498387723
19,3226.528939316675
20,3504.1542792792793
21,2704.7000854351622
22,2877.4529778424862
23,4360.331956956957
24,4354.049892473118
25,5599.13182344678
26,4309.48945468364
27,4131.700295122709
28,2037.3379348988844
29,4027.6918132235082
30,5327.991663277755
31,3716.04601065826
32,9746.379928315413
33,4122.12676056338
34,4710.353101620947
35,3370.635524291053
36,5639.159379782521
37,3157.421755667123
38,3434.8286599535245
39,3893.035187782453
40,3386.328437568098
41,5040.205055220312
42,3818.7924205923864
44,4663.1371197362505
45,2759.3425535503457
46,3302.400849190124
47,2676.801495434611
48,3428.181371004446
49,3539.8388615888616
50,4214.687046004843
51,3695.3832376485807
53,5434.850840190858
54,2869.546257240875
55,3836.9536072008664
56,5295.571116928447
99,18847.416666666668
100,0.0
105,1209.0
110,12681.9793814433
115,833.3333333333334
