MIGPLAC5,FWAGE1
151,7329.750847457627
152,3881.425219941349
160,17334.166666666668
200,9514.878318584071
211,500.0
212,17497.0
214,1050.0
215,14.0
216,99999.0
217,16293.47619047619
218,28536.727272727272
219,4752.6
250,12987.916666666666
261,99999.0
264,2400.0
267,6938.679487179487
305,8267.666666666666
310,0.0
315,14956.857142857143
320,0.0
325,9437.538461538461
350,49999.5
365,1202.5714285714287
390,11746.28205128205
400,4469.834170854271
401,9930.660714285714
404,4009.01185770751
405,5051.184834123223
410,4033.593439363817
411,5888.7803278688525
412,10820.0
414,7019.132464712269
415,3017.9849624060153
420,10472.955555555556
421,4101.816254416961
423,1045.0
425,3186.7755102040815
426,3617.917808219178
430,1302.8
433,5737.44578313253
435,4519.581517000872
436,3782.285714285714
437,6857.6
438,1854.6057692307693
450,7864.984790874525
451,7566.357142857143
452,2573.4089834515366
453,3768.1180742334586
454,4231.929752066116
455,7294.289517470882
456,3323.8979591836733
457,5386.699115044248
460,2062.0
461,27006.0
462,5661.505747126437
465,2788.084175084175
499,5341.884615384615
500,14282.328947368422
501,9346.383333333333
502,308.0
515,37055.205128205125
521,8125.153846153846
534,6976.02
537,1420.0
541,1547.659793814433
542,8949.28
599,6020.833333333333
600,12029.59090909091
701,26112.083333333332
702,99999.0
710,9588.25
900,16600.926056338027
999,13481.586515151515
