YEAR,SAMPLE,SERIAL,HHWT,CLUSTER,STRATA,GQ,US1940A_FAMERN,PERNUM,PERWT,MIGPLAC5
1940,194001,24,100.0,1940000000241,20923,1,1040,2,100.0,453
1940,194001,24,100.0,1940000000241,20923,1,1040,3,100.0,453
1940,194001,27,100.0,1940000000271,20926,1,780,2,100.0,999
1940,194001,27,100.0,1940000000271,20926,1,780,3,100.0,999
1940,194001,27,100.0,1940000000271,20926,1,780,4,100.0,999
1940,194001,32,100.0,1940000000321,350000000,1,150,3,100.0,999
1940,194001,32,100.0,1940000000321,350000000,1,150,4,100.0,999
1940,194001,37,100.0,1940000000371,33840,3,99999,1,100.0,999
1940,194001,48,100.0,1940000000481,20947,1,84,2,100.0,999
1940,194001,56,78.0,1940000000561,23037,1,0,8,78.0,455
1940,194001,68,100.0,1940000000681,20967,1,1300,4,100.0,999
1940,194001,72,100.0,1940000000721,23019,1,0,2,100.0,200
1940,194001,72,100.0,1940000000721,23019,1,0,3,100.0,200
1940,194001,72,100.0,1940000000721,23019,1,0,4,100.0,200
1940,194001,101,100.0,1940000001011,36519,1,2520,4,100.0,435
1940,194001,101,100.0,1940000001011,36519,1,2520,5,100.0,435
1940,194001,101,100.0,1940000001011,36519,1,2520,6,100.0,435
1940,194001,101,100.0,1940000001011,36519,1,2520,7,100.0,435
1940,194001,118,64.0,1940000001181,197000000,1,282,1,64.0,465
1940,194001,153,100.0,1940000001531,27621,1,1500,1,100.0,999
1940,194001,153,100.0,1940000001531,27621,1,1500,2,100.0,999
1940,194001,153,100.0,1940000001531,27621,1,1500,3,100.0,999
1940,194001,161,100.0,1940000001611,34493,4,99999,1,100.0,267
1940,194001,197,100.0,1940000001971,37007,3,99999,1,100.0,999
1940,194001,252,100.0,1940000002521,26887,1,528,3,100.0,900
1940,194001,279,100.0,1940000002791,21179,1,2500,4,100.0,999
1940,194001,346,100.0,1940000003461,217000000,1,100,2,100.0,999
1940,194001,402,100.0,1940000004021,249000000,1,0,5,100.0,999
1940,194001,415,78.0,1940000004151,27963,1,1680,2,78.0,999
